bloque,sim_start,sim_end,flight_start,algorithm,estrategia,log_file,asignados,total_paquetes,fuera_plazo,colapso,horas_promedio_entrega,costo_total,metricas
1,2026-01-25,2026-01-29,2026-01-24,ALNS,ALNS,/home/rvs/PUCP/DP1/dp1-algoritmos/data/output/simulacion_20260427_150608.log,693,800,171,0,28.33,1517135.25,"{pesoReparacionRegret=0.3471625, paquetesNoAsignados=107.0, pesoRupturaRandom=0.3471625, pesoRupturaWorstDelay=0.3471625, pesoReparacionGreedy=0.3471625}"
1,2026-01-25,2026-01-29,2026-01-24,ACO,ACO,/home/rvs/PUCP/DP1/dp1-algoritmos/data/output/simulacion_20260427_150631.log,356,800,79,0,28.80,4647751.45,"{feromonaMaxima=0.03400872966583203, paquetesNoAsignados=444.0, feromonaMinima=0.03167635202407837, hormigasEliteACO=2.0, topRutasACO=4.0}"
2,2026-05-20,2026-05-24,2026-05-19,ALNS,ALNS,/home/rvs/PUCP/DP1/dp1-algoritmos/data/output/simulacion_20260427_150651.log,709,800,164,0,27.19,1339277.00,"{pesoReparacionRegret=0.3471625, paquetesNoAsignados=91.0, pesoRupturaRandom=0.3471625, pesoRupturaWorstDelay=0.3471625, pesoReparacionGreedy=0.3471625}"
2,2026-05-20,2026-05-24,2026-05-19,ACO,ACO,/home/rvs/PUCP/DP1/dp1-algoritmos/data/output/simulacion_20260427_150709.log,375,800,77,0,27.20,4452698.18,"{feromonaMaxima=0.03382258344912153, paquetesNoAsignados=425.0, feromonaMinima=0.03167635202407837, hormigasEliteACO=2.0, topRutasACO=4.0}"
3,2026-07-23,2026-07-27,2026-07-22,ALNS,ALNS,/home/rvs/PUCP/DP1/dp1-algoritmos/data/output/simulacion_20260427_150728.log,698,800,160,0,28.39,1439817.15,"{pesoReparacionRegret=0.3471625, paquetesNoAsignados=102.0, pesoRupturaRandom=0.3471625, pesoRupturaWorstDelay=0.3471625, pesoReparacionGreedy=0.3471625}"
3,2026-07-23,2026-07-27,2026-07-22,ACO,ACO,/home/rvs/PUCP/DP1/dp1-algoritmos/data/output/simulacion_20260427_150747.log,350,800,78,0,29.06,4705171.50,"{feromonaMaxima=0.03367687061232527, paquetesNoAsignados=450.0, feromonaMinima=0.03167635202407837, hormigasEliteACO=2.0, topRutasACO=4.0}"
4,2026-09-10,2026-09-14,2026-09-09,ALNS,ALNS,/home/rvs/PUCP/DP1/dp1-algoritmos/data/output/simulacion_20260427_150806.log,694,800,154,0,27.95,1464395.42,"{pesoReparacionRegret=0.3471625, paquetesNoAsignados=106.0, pesoRupturaRandom=0.3471625, pesoRupturaWorstDelay=0.3471625, pesoReparacionGreedy=0.3471625}"
4,2026-09-10,2026-09-14,2026-09-09,ACO,ACO,/home/rvs/PUCP/DP1/dp1-algoritmos/data/output/simulacion_20260427_150829.log,367,800,75,0,27.89,4527735.18,"{feromonaMaxima=0.03542168291312357, paquetesNoAsignados=433.0, feromonaMinima=0.03167635202407837, hormigasEliteACO=2.0, topRutasACO=4.0}"
5,2026-11-11,2026-11-15,2026-11-10,ALNS,ALNS,/home/rvs/PUCP/DP1/dp1-algoritmos/data/output/simulacion_20260427_150849.log,696,800,157,0,27.16,1451403.07,"{pesoReparacionRegret=0.3471625, paquetesNoAsignados=104.0, pesoRupturaRandom=0.3471625, pesoRupturaWorstDelay=0.3471625, pesoReparacionGreedy=0.3471625}"
5,2026-11-11,2026-11-15,2026-11-10,ACO,ACO,/home/rvs/PUCP/DP1/dp1-algoritmos/data/output/simulacion_20260427_150908.log,365,800,83,0,27.51,4567541.33,"{feromonaMaxima=0.03409267688882474, paquetesNoAsignados=435.0, feromonaMinima=0.03167635202407837, hormigasEliteACO=2.0, topRutasACO=4.0}"
